"Listening to you at <a href="tel:%1$s">%2$s</a>","À votre écoute au <a href="tel:%1$s">%2$s</a>"
"(price of a local call, 7 days a week)","(prix d’un appel local, 7J/7)"
"Toogle navigation","Basculer la navigation"
"My account","Mon compte"
"Log in","Je me connecte"
"I\'m logging in","Je me connecte"
"I Forgot My Password?", "J'ai oublié mon mot de passe"
"My cart","Mon panier"
"The catalog","Le catalogue"
"I search","Je recherche"
"Rapidoto?","Rapidoto ?"
"Our engagements","Nos engagements"
"Customer service","Service clients"
"How to place an order","Comment passer commande"
"My Vehicles","Mes Véhicules" 
"Most searched products","Produits les plus recherchés"
"See the product","Voir le produit"
"Back to My Orders", "Je retourne sur mes commandes"
"I Save", "J'enregistre"
"I Edit My Address", "Je modifie mon adresse"
"I Delete My Address", "Je supprime mon adresse"
"It's my default billing address.", "Mon adresse de facturation par défaut"
"I Use as my default billing address", "Je l'utilise comme adresse de facturation par défaut"
"It's my default shipping address.", "Mon adresse de livraison par défaut"
"I Use as my default shipping address", "Je l'utilise comme adresse de livraison par défaut"
"I Change my address", "Je change mon adresse"
"I Add a new address", "J'ajoute une nouvelle adresse"
"I Change My Email", "Je modifie mon email"
"I Change My Password", "Je modifie mon mot de passe"
"I Reset My Password", "Je réinitialise mon mot de passe"
"I Create my Account", "Je crée mon compte"

"I know the reference of my mechanical part","Je connais la référence de ma pièce"
"Ex: XHFGHJK647","Ex : XHFGHJK647"
"Ex: 290J92DGL","Ex : 290J92DGL"
"Look for","Chercher"
"I'm Looking for", "Je recherche"
"Browse the catalog","Je parcours le catalogue"
"All mechanical parts","Toutes les pièces"
"The main manufacturers","Les principaux constructeurs"
"Accessories and equipment","Accessoires et équipements"
"Care and cleaning","Entretien et nettoyage"
"Tools","Outillage"

"By Categories", "L’univers "

"Rapidoto is the specialist of spare parts in Martinique with more than <strong>300 000 references delivered quickly !</strong>","Rapidoto c’est le spécialiste de la pièce détachée en Martinique avec plus de <strong>300 000 références livrées rapidement !</strong>"

"2D model","Modèle 2D"
"All the parts","Toutes les pièces"
"Accessories / Maintenance","Accessoires / Entretien"
"Batteries","Batteries"
"Engine oils","Huiles moteur"
"Tools","Outillage"
"See more","Voir plus"
"Minimize","Réduire"
"Toggle","Basculer"
"Go to the catalog","J’accède au catalogue"
"Product coming soon","Articles prochainement disponibles"

"I take advantage of fast delivery","Je profite d’une livraison rapide"
"I make my choice among the original parts","Je fais mon choix parmi les pièces d’origines"
"I enjoy the best prices","Je profite des meilleurs prix"
"I benefit from quality customer service","Je profite d'un service client de qualité"

"Newsletter","Newsletter"
"My email address","Mon adresse email"
"example@mail.com","exemple@mail.com"
"Subscribe","S’inscrire"
"%d - Rapidoto - All rights reserved","%d - Rapidoto - Tous droits réservés"

"What is my car?","Quelle est ma voiture ?"

"Characteristics","Caractéristiques"
":"," :"

"Previous page","Page précédente"
"Next page","Page suivante"
"My account","Mes informations"
"My addresses","Mes adresses"

"Phone : %s","Tel. : %s"
"Order number","Numéro de commande"
"Total incl. VAT","Prix TTC"

"Order validated","Commande validée"
"Processing","Préparation en cours"
"Delivery in progress","Livraison en cours"
"Delivered","Livrée"
"Order #%s","Commande n°%s"
"Ordered on %s - Delivery scheduled for <strong>%s</strong>","Commandé le %s - Livraison pour le <strong>%s<strong>"
"SKU %s","Réf. %s"
"%s by unit","%s l'unité"
"My order","Ma commande"
"Total incl. VAT","Prix TTC"
